County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Percent adults fully vaccinated against COVID-19 (as of 6/10/21)
Kemper County Mississippi,MISSISSIPPI,19.16%,30.08%,13.18%,27.8%
Noxubee County Mississippi,MISSISSIPPI,16.8%,27.64%,11.46%,42.1%
Renville County Minnesota,MINNESOTA,8.01%,12.16%,4.33%,51.6%
Stevens County Minnesota,MINNESOTA,7.19%,10.93%,3.85%,51.4%
George County Mississippi,MISSISSIPPI,19.13%,28.99%,13.1%,30.1%
Pine County Minnesota,MINNESOTA,8.88%,13.22%,4.84%,41.5%
Barry County Missouri,MISSOURI,14.3%,19.78%,8.63%,34.9%
Scott County Minnesota,MINNESOTA,6.26%,9.29%,3.42%,62.2%
Leflore County Mississippi,MISSISSIPPI,18.9%,30.7%,13.09%,44.4%
Copiah County Mississippi,MISSISSIPPI,16.65%,26.63%,11.33%,37.8%
Marshall County Mississippi,MISSISSIPPI,19.59%,30.31%,13.57%,33.3%
Martin County Minnesota,MINNESOTA,7.88%,12.11%,4.28%,51.9%
Amite County Mississippi,MISSISSIPPI,17.52%,28.1%,12.11%,27.1%
Bollinger County Missouri,MISSOURI,14.34%,20.29%,8.58%,26.9%
Prentiss County Mississippi,MISSISSIPPI,19.59%,30.31%,13.57%,32.7%
Walthall County Mississippi,MISSISSIPPI,17.52%,28.1%,12.11%,27.5%
Humphreys County Mississippi,MISSISSIPPI,19.13%,31.45%,13.34%,38.5%
Marion County Mississippi,MISSISSIPPI,18.36%,29.09%,12.56%,28.9%
Mower County Minnesota,MINNESOTA,7.72%,11.99%,4.13%,58%
Wilkinson County Mississippi,MISSISSIPPI,17.52%,28.1%,12.11%,46.1%
Traverse County Minnesota,MINNESOTA,7.19%,10.93%,3.85%,56.6%
Andrew County Missouri,MISSOURI,15.45%,21.42%,9.22%,31.8%
Hancock County Mississippi,MISSISSIPPI,19.13%,28.99%,13.1%,28%
Webster County Mississippi,MISSISSIPPI,16.8%,27.64%,11.46%,36.5%
Pearl River County Mississippi,MISSISSIPPI,19.13%,28.99%,13.1%,31.1%
Lake of the Woods County Minnesota,MINNESOTA,8.92%,13.77%,4.76%,50.7%
St. Louis County Minnesota,MINNESOTA,7.36%,11.3%,3.91%,59.9%
Sherburne County Minnesota,MINNESOTA,8.62%,12.87%,4.63%,38.8%
Washington County Minnesota,MINNESOTA,6.35%,9.37%,3.42%,61.6%
Coahoma County Mississippi,MISSISSIPPI,18.57%,30.14%,12.62%,35.6%
Norman County Minnesota,MINNESOTA,7.62%,11.79%,4.11%,53.2%
Pipestone County Minnesota,MINNESOTA,7.88%,12.11%,4.28%,53.1%
Waseca County Minnesota,MINNESOTA,7.38%,11.64%,3.89%,52.4%
Chickasaw County Mississippi,MISSISSIPPI,17.61%,28.02%,11.94%,36.1%
Tallahatchie County Mississippi,MISSISSIPPI,18.57%,30.14%,12.62%,28.1%
Redwood County Minnesota,MINNESOTA,7.98%,12.33%,4.32%,49.2%
Greene County Mississippi,MISSISSIPPI,19.3%,30.16%,13.49%,23.2%
Morrison County Minnesota,MINNESOTA,8.13%,12.37%,4.38%,43.2%
Attala County Mississippi,MISSISSIPPI,18.9%,30.7%,13.09%,38.3%
Butler County Missouri,MISSOURI,16.66%,23.22%,10.1%,26.7%
Wright County Minnesota,MINNESOTA,7.53%,11.02%,4.05%,49.2%
Lafayette County Mississippi,MISSISSIPPI,17.61%,28.02%,11.94%,41.8%
Sharkey County Mississippi,MISSISSIPPI,19.13%,31.45%,13.34%,41.4%
Jasper County Mississippi,MISSISSIPPI,19.16%,30.08%,13.18%,34.6%
Holmes County Mississippi,MISSISSIPPI,18.9%,30.7%,13.09%,41%
Mahnomen County Minnesota,MINNESOTA,8.92%,13.77%,4.76%,64.4%
Swift County Minnesota,MINNESOTA,7.19%,10.93%,3.85%,54.3%
Monroe County Mississippi,MISSISSIPPI,17.61%,28.02%,11.94%,36.5%
Oktibbeha County Mississippi,MISSISSIPPI,16.8%,27.64%,11.46%,37%
Benton County Missouri,MISSOURI,15.67%,22.04%,9.48%,39.6%
Lee County Mississippi,MISSISSIPPI,18.25%,28.18%,12.51%,33.2%
Covington County Mississippi,MISSISSIPPI,19.3%,30.16%,13.49%,35.4%
Pontotoc County Mississippi,MISSISSIPPI,18.25%,28.18%,12.51%,32.8%
Winston County Mississippi,MISSISSIPPI,16.8%,27.64%,11.46%,35.8%
Atchison County Missouri,MISSOURI,14.82%,20.59%,9%,50.8%
Le Sueur County Minnesota,MINNESOTA,7.93%,12.01%,4.31%,43.9%
Jackson County Mississippi,MISSISSIPPI,17.19%,26.72%,11.59%,31.8%
Sibley County Minnesota,MINNESOTA,8.01%,12.16%,4.33%,44%
Scott County Mississippi,MISSISSIPPI,19.16%,30.08%,13.18%,35.3%
Union County Mississippi,MISSISSIPPI,18.25%,28.18%,12.51%,29.5%
Caldwell County Missouri,MISSOURI,14.41%,20.03%,8.58%,32.1%
Winona County Minnesota,MINNESOTA,7.55%,11.61%,4.04%,52.9%
Clay County Mississippi,MISSISSIPPI,16.8%,27.64%,11.46%,32.8%
Olmsted County Minnesota,MINNESOTA,5.96%,9.01%,3.17%,70.4%
Madison County Mississippi,MISSISSIPPI,16.2%,25.83%,10.83%,49.9%
Yellow Medicine County Minnesota,MINNESOTA,7.98%,12.33%,4.32%,54.6%
DeSoto County Mississippi,MISSISSIPPI,16.65%,26.07%,11.24%,34.3%
Nobles County Minnesota,MINNESOTA,7.88%,12.11%,4.28%,56.9%
Wayne County Mississippi,MISSISSIPPI,19.3%,30.16%,13.49%,26%
Roseau County Minnesota,MINNESOTA,7.62%,11.79%,4.11%,45.7%
Mille Lacs County Minnesota,MINNESOTA,8.88%,13.22%,4.84%,53.5%
Grenada County Mississippi,MISSISSIPPI,18.9%,30.7%,13.09%,36.6%
Buchanan County Missouri,MISSOURI,15.45%,21.42%,9.22%,31.8%
Wadena County Minnesota,MINNESOTA,8.13%,12.37%,4.38%,47.8%
Montgomery County Mississippi,MISSISSIPPI,18.9%,30.7%,13.09%,37.6%
Lamar County Mississippi,MISSISSIPPI,18.36%,29.09%,12.56%,43%
Panola County Mississippi,MISSISSIPPI,18.57%,30.14%,12.62%,32.6%
Todd County Minnesota,MINNESOTA,8.13%,12.37%,4.38%,39.2%
Red Lake County Minnesota,MINNESOTA,7.62%,11.79%,4.11%,50.6%
Benton County Mississippi,MISSISSIPPI,19.59%,30.31%,13.57%,32.9%
Simpson County Mississippi,MISSISSIPPI,17.5%,26.71%,11.89%,32.7%
Bates County Missouri,MISSOURI,14.25%,19.41%,8.45%,32.5%
Polk County Minnesota,MINNESOTA,7.62%,11.79%,4.11%,37.9%
Marshall County Minnesota,MINNESOTA,7.62%,11.79%,4.11%,41.1%
Hinds County Mississippi,MISSISSIPPI,16.44%,27.4%,11.02%,41.9%
Tate County Mississippi,MISSISSIPPI,18.57%,30.14%,12.62%,28.9%
Carroll County Mississippi,MISSISSIPPI,18.9%,30.7%,13.09%,25.8%
Jefferson County Mississippi,MISSISSIPPI,17.52%,28.1%,12.11%,48%
Stearns County Minnesota,MINNESOTA,7.98%,12.48%,4.36%,49.7%
Callaway County Missouri,MISSOURI,14.2%,19.35%,8.46%,37.7%
Rock County Minnesota,MINNESOTA,7.88%,12.11%,4.28%,51%
Adams County Mississippi,MISSISSIPPI,17.52%,28.1%,12.11%,35.3%
Otter Tail County Minnesota,MINNESOTA,7.19%,10.93%,3.85%,44.9%
Pike County Mississippi,MISSISSIPPI,17.52%,28.1%,12.11%,35.8%
Lincoln County Minnesota,MINNESOTA,7.98%,12.33%,4.32%,46.8%
Washington County Mississippi,MISSISSIPPI,19.13%,31.45%,13.34%,35%
Audrain County Missouri,MISSOURI,15.39%,21.12%,9.23%,32.3%
Itawamba County Mississippi,MISSISSIPPI,17.61%,28.02%,11.94%,27%
Lowndes County Mississippi,MISSISSIPPI,16.8%,27.64%,11.46%,36.7%
Yalobusha County Mississippi,MISSISSIPPI,18.9%,30.7%,13.09%,46.2%
Wilkin County Minnesota,MINNESOTA,7.19%,10.93%,3.85%,28.8%
Nicollet County Minnesota,MINNESOTA,7.38%,11.64%,3.89%,57.5%
Forrest County Mississippi,MISSISSIPPI,18.36%,29.09%,12.56%,28.5%
Clarke County Mississippi,MISSISSIPPI,18.14%,29.15%,12.56%,38.4%
Leake County Mississippi,MISSISSIPPI,19.16%,30.08%,13.18%,32.9%
Rankin County Mississippi,MISSISSIPPI,17.5%,26.71%,11.89%,37.7%
Tunica County Mississippi,MISSISSIPPI,18.57%,30.14%,12.62%,33.6%
Jefferson Davis County Mississippi,MISSISSIPPI,19.3%,30.16%,13.49%,30.2%
Neshoba County Mississippi,MISSISSIPPI,19.16%,30.08%,13.18%,29%
Hughes County Oklahoma,OKLAHOMA,18.7%,25.29%,13.07%,35.3%
Marion County Oregon,OREGON,11.21%,14.29%,8.41%,51.8%
Pushmataha County Oklahoma,OKLAHOMA,20.6%,27.15%,14.36%,28.9%
Marion County Ohio,OHIO,15.86%,21.97%,9.61%,42.6%
Muskogee County Oklahoma,OKLAHOMA,19.82%,26.2%,13.76%,38%
Baker County Oregon,OREGON,11.48%,14.53%,8.8%,69.7%
Monroe County Ohio,OHIO,14.77%,20.38%,8.94%,43.1%
Coos County Oregon,OREGON,12.09%,15.37%,9.09%,48.5%
Noble County Ohio,OHIO,14.77%,20.38%,8.94%,37.2%
Creek County Oklahoma,OKLAHOMA,18.21%,23.92%,12.64%,33.5%
Scotland County Missouri,MISSOURI,14.64%,20.59%,8.78%,25.9%
Silver Bow County Montana,MONTANA,22.68%,26.94%,15.37%,56.3%
Osage County Missouri,MISSOURI,14.2%,19.35%,8.46%,33.6%
Missoula County Montana,MONTANA,23.97%,28.95%,16.22%,59.6%
Stone County Missouri,MISSOURI,14.3%,19.78%,8.63%,30.3%
Musselshell County Montana,MONTANA,26.39%,31.31%,17.99%,30.8%
Gallatin County Montana,MONTANA,21.95%,26.23%,14.6%,51%
Cape Girardeau County Missouri,MISSOURI,14.34%,20.29%,8.58%,39.8%
Ray County Missouri,MISSOURI,14.41%,20.03%,8.58%,33.1%
Chariton County Missouri,MISSOURI,15.12%,21.1%,9.03%,32.4%
Oregon County Missouri,MISSOURI,16.46%,22.88%,10.06%,23.4%
Garfield County Montana,MONTANA,26.39%,31.31%,17.99%,19.2%
Scott County Missouri,MISSOURI,14.34%,20.29%,8.58%,38.8%
Big Horn County Montana,MONTANA,26.39%,31.31%,17.99%,72.2%
Hickory County Missouri,MISSOURI,15.67%,22.04%,9.48%,30.2%
Laclede County Missouri,MISSOURI,15.67%,22.04%,9.48%,28.6%
Pulaski County Missouri,MISSOURI,15.44%,21.85%,9.4%,30.4%
Franklin County Missouri,MISSOURI,14.53%,19.8%,8.61%,44.7%
Pondera County Montana,MONTANA,26.7%,32.33%,18.24%,47.5%
Jackson County Missouri,MISSOURI,12.94%,18.31%,7.51%,44.5%
Texas County Missouri,MISSOURI,16.46%,22.88%,10.06%,24.3%
Pettis County Missouri,MISSOURI,15.12%,21.1%,9.03%,36.3%
Webster County Missouri,MISSOURI,14.25%,19.46%,8.55%,35.3%
Clay County Missouri,MISSOURI,12.62%,17.33%,7.29%,43.3%
Moniteau County Missouri,MISSOURI,14.2%,19.35%,8.46%,30.7%
Ravalli County Montana,MONTANA,23.97%,28.95%,16.22%,43.8%
Custer County Montana,MONTANA,26.39%,31.31%,17.99%,37.6%
Lake County Montana,MONTANA,23.97%,28.95%,16.22%,53.9%
St. Charles County Missouri,MISSOURI,11.07%,14.9%,6.48%,51.9%
Wayne County Missouri,MISSOURI,16.66%,23.22%,10.1%,29.3%
Crawford County Missouri,MISSOURI,13.8%,19.32%,8.31%,26%
Madison County Montana,MONTANA,22.68%,26.94%,15.37%,39.7%
Lewis County Missouri,MISSOURI,14.64%,20.59%,8.78%,30.8%
Park County Montana,MONTANA,21.95%,26.23%,14.6%,51.6%
Randolph County Missouri,MISSOURI,15.12%,21.1%,9.03%,28.2%
McCone County Montana,MONTANA,26.39%,31.31%,17.99%,15.5%
Carbon County Montana,MONTANA,21.95%,26.23%,14.6%,43.4%
Carroll County Missouri,MISSOURI,15.12%,21.1%,9.03%,44.8%
Iron County Missouri,MISSOURI,16.66%,23.22%,10.1%,29.8%
Jasper County Missouri,MISSOURI,15.74%,21.91%,9.44%,36.7%
McDonald County Missouri,MISSOURI,14.3%,19.78%,8.63%,20.8%
Perry County Missouri,MISSOURI,16.38%,22.74%,9.85%,32.7%
DeKalb County Missouri,MISSOURI,15.45%,21.42%,9.22%,22.4%
Gasconade County Missouri,MISSOURI,13.8%,19.32%,8.31%,43.8%
Livingston County Missouri,MISSOURI,14.82%,20.59%,9%,38.3%
Nodaway County Missouri,MISSOURI,14.82%,20.59%,9%,39.3%
Glacier County Montana,MONTANA,24.61%,29.1%,16.69%,79.4%
Henry County Missouri,MISSOURI,15.76%,21.8%,9.58%,36.4%
Putnam County Missouri,MISSOURI,14.82%,20.59%,9%,28.3%
Cooper County Missouri,MISSOURI,15.12%,21.1%,9.03%,35.6%
Monroe County Missouri,MISSOURI,14.64%,20.59%,8.78%,39.6%
Rosebud County Montana,MONTANA,26.39%,31.31%,17.99%,71.2%
Marion County Missouri,MISSOURI,14.64%,20.59%,8.78%,38%
Shannon County Missouri,MISSOURI,16.46%,22.88%,10.06%,21.3%
Fallon County Montana,MONTANA,26.39%,31.31%,17.99%,31.3%
St. Louis County Missouri,MISSOURI,10.67%,15.18%,6.16%,49.6%
Ripley County Missouri,MISSOURI,16.66%,23.22%,10.1%,22.6%
Christian County Missouri,MISSOURI,14.25%,19.46%,8.55%,36.8%
Lafayette County Missouri,MISSOURI,14.41%,20.03%,8.58%,39.7%
Worth County Missouri,MISSOURI,14.82%,20.59%,9%,36.1%
Blaine County Montana,MONTANA,26.7%,32.33%,18.24%,75.8%
Prairie County Montana,MONTANA,26.39%,31.31%,17.99%,35.8%
Taney County Missouri,MISSOURI,14.3%,19.78%,8.63%,30.3%
Phelps County Missouri,MISSOURI,13.8%,19.32%,8.31%,36%
Chouteau County Montana,MONTANA,26.7%,32.33%,18.24%,28.4%
Meagher County Montana,MONTANA,26.7%,32.33%,18.24%,47.6%
Petroleum County Montana,MONTANA,26.7%,32.33%,18.24%,30.4%
Carter County Missouri,MISSOURI,16.66%,23.22%,10.1%,25.5%
St. Francois County Missouri,MISSOURI,16.38%,22.74%,9.85%,34%
Jefferson County Missouri,MISSOURI,14.35%,19.55%,8.49%,34.5%
Deer Lodge County Montana,MONTANA,22.68%,26.94%,15.37%,49.7%
Judith Basin County Montana,MONTANA,26.7%,32.33%,18.24%,35.6%
Sanders County Montana,MONTANA,23.97%,28.95%,16.22%,35.4%
Maries County Missouri,MISSOURI,13.8%,19.32%,8.31%,30.7%
Pemiscot County Missouri,MISSOURI,16.75%,24.08%,10.18%,21.2%
Dent County Missouri,MISSOURI,13.8%,19.32%,8.31%,24.3%
Washington County Missouri,MISSOURI,16.38%,22.74%,9.85%,25.4%
Mercer County Missouri,MISSOURI,14.82%,20.59%,9%,30.5%
Pike County Missouri,MISSOURI,15.39%,21.12%,9.23%,31.9%
Daviess County Missouri,MISSOURI,14.82%,20.59%,9%,27.9%
Lincoln County Montana,MONTANA,24.61%,29.1%,16.69%,30.2%
Howell County Missouri,MISSOURI,16.46%,22.88%,10.06%,21.5%
Cole County Missouri,MISSOURI,14.2%,19.35%,8.46%,46.2%
Ralls County Missouri,MISSOURI,14.64%,20.59%,8.78%,25%
Roosevelt County Montana,MONTANA,26.39%,31.31%,17.99%,51.4%
Linn County Missouri,MISSOURI,14.82%,20.59%,9%,39.6%
Wright County Missouri,MISSOURI,16.46%,22.88%,10.06%,27.8%
Shelby County Missouri,MISSOURI,14.64%,20.59%,8.78%,43.4%
Broadwater County Montana,MONTANA,22.68%,26.94%,15.37%,28.5%
Lawrence County Missouri,MISSOURI,15.76%,21.8%,9.58%,29.2%
Harrison County Missouri,MISSOURI,14.82%,20.59%,9%,30.9%
Montgomery County Missouri,MISSOURI,15.39%,21.12%,9.23%,40.6%
Fergus County Montana,MONTANA,26.7%,32.33%,18.24%,40.4%
Powell County Montana,MONTANA,22.68%,26.94%,15.37%,37.6%
Gentry County Missouri,MISSOURI,14.82%,20.59%,9%,39.7%
Clark County Missouri,MISSOURI,14.64%,20.59%,8.78%,24.4%
Reynolds County Missouri,MISSOURI,16.66%,23.22%,10.1%,17.3%
Golden Valley County Montana,MONTANA,26.39%,31.31%,17.99%,41.6%
Newton County Missouri,MISSOURI,15.74%,21.91%,9.44%,19.7%
Saline County Missouri,MISSOURI,15.12%,21.1%,9.03%,40.4%
Johnson County Missouri,MISSOURI,14.41%,20.03%,8.58%,31.3%
Sheridan County Montana,MONTANA,26.39%,31.31%,17.99%,45.3%
Howard County Missouri,MISSOURI,15.12%,21.1%,9.03%,37.7%
Miller County Missouri,MISSOURI,15.44%,21.85%,9.4%,25.8%
Douglas County Missouri,MISSOURI,16.46%,22.88%,10.06%,17.8%
Cascade County Montana,MONTANA,26.7%,32.33%,18.24%,47.2%
Cass County Missouri,MISSOURI,14.25%,19.41%,8.45%,41.9%
Liberty County Montana,MONTANA,26.7%,32.33%,18.24%,32%
Phillips County Montana,MONTANA,26.39%,31.31%,17.99%,39.2%
Ste. Genevieve County Missouri,MISSOURI,16.38%,22.74%,9.85%,38.7%
Warren County Missouri,MISSOURI,15.39%,21.12%,9.23%,35.9%
Mineral County Montana,MONTANA,23.97%,28.95%,16.22%,46.8%
Madison County Missouri,MISSOURI,16.66%,23.22%,10.1%,29.7%
Dallas County Missouri,MISSOURI,15.67%,22.04%,9.48%,26.8%
Platte County Missouri,MISSOURI,12.28%,16.6%,7.22%,45.8%
Ozark County Missouri,MISSOURI,16.46%,22.88%,10.06%,22%
Sullivan County Missouri,MISSOURI,14.82%,20.59%,9%,35.6%
Dawson County Montana,MONTANA,26.39%,31.31%,17.99%,35.8%
Jefferson County Montana,MONTANA,22.68%,26.94%,15.37%,44.3%
Schuyler County Missouri,MISSOURI,14.64%,20.59%,8.78%,24.4%
St. Louis city Missouri,MISSOURI,12.09%,18.18%,6.97%,41.6%
York County Pennsylvania,PENNSYLVANIA,11.25%,15.66%,7.38%,51.1%
Day County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,51.1%
Jasper County South Carolina,SOUTH CAROLINA,12.13%,18.58%,6.79%,24.5%
Washington County Oregon,OREGON,8.62%,10.7%,6.39%,63.7%
Clarendon County South Carolina,SOUTH CAROLINA,15.24%,24.46%,8.63%,36.8%
Saluda County South Carolina,SOUTH CAROLINA,15.12%,22.63%,8.62%,25.1%
Armstrong County Pennsylvania,PENNSYLVANIA,12.57%,17.77%,8.4%,52.8%
York County South Carolina,SOUTH CAROLINA,13.16%,19.85%,7.27%,35.3%
Bradford County Pennsylvania,PENNSYLVANIA,12.35%,17.33%,8.18%,36.9%
Schuylkill County Pennsylvania,PENNSYLVANIA,12.44%,17.56%,8.19%,52.2%
Edmunds County South Dakota,SOUTH DAKOTA,10.18%,14.85%,7.47%,33.3%
Luzerne County Pennsylvania,PENNSYLVANIA,11.7%,16.73%,7.6%,53.5%
Dauphin County Pennsylvania,PENNSYLVANIA,10.52%,15.28%,6.91%,54.2%
Lackawanna County Pennsylvania,PENNSYLVANIA,11.52%,16.68%,7.55%,63.9%
Delaware County Pennsylvania,PENNSYLVANIA,9.93%,14.17%,6.5%,62.6%
Perry County Pennsylvania,PENNSYLVANIA,12.16%,17.02%,8.16%,42.7%
Cameron County Pennsylvania,PENNSYLVANIA,12.96%,18.25%,8.6%,54.2%
Newberry County South Carolina,SOUTH CAROLINA,15.16%,23.74%,8.59%,41.6%
Brookings County South Dakota,SOUTH DAKOTA,10.18%,14.63%,7.53%,40.2%
Clinton County Pennsylvania,PENNSYLVANIA,12.52%,17.79%,8.33%,38.1%
Mifflin County Pennsylvania,PENNSYLVANIA,13.56%,18.97%,9.25%,45.6%
Edgefield County South Carolina,SOUTH CAROLINA,14.67%,22.6%,8.24%,45.3%
Snyder County Pennsylvania,PENNSYLVANIA,13.56%,18.97%,9.25%,38.7%
Anderson County South Carolina,SOUTH CAROLINA,14.63%,22.28%,8.23%,33.9%
Merrick County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,38.5%
Hunterdon County New Jersey,NEW JERSEY,4.2%,8.71%,2.92%,61.7%
York County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,48.2%
Stillwater County Montana,MONTANA,21.95%,26.23%,14.6%,39.8%
Storey County Nevada,NEVADA,12.33%,19.58%,6.62%,16.4%
Valley County Montana,MONTANA,26.39%,31.31%,17.99%,40.7%
Carroll County New Hampshire,NEW HAMPSHIRE,10.28%,12.74%,6.78%,63%
Antelope County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,36.3%
Jefferson County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,51.7%
Morris County New Jersey,NEW JERSEY,3.97%,8.4%,2.71%,71.4%
Hitchcock County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,30.5%
Boone County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,50.6%
Lincoln County Nevada,NEVADA,13.9%,22.26%,7.55%,33%
Merrimack County New Hampshire,NEW HAMPSHIRE,10.37%,12.82%,6.87%,65.5%
Butler County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,49.7%
Grant County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,14.9%
Johnson County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,48.9%
Custer County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,34.5%
Esmeralda County Nevada,NEVADA,13.9%,22.26%,7.55%,35.2%
Cheshire County New Hampshire,NEW HAMPSHIRE,10.83%,13.58%,7.04%,58.4%
Sussex County New Jersey,NEW JERSEY,4.78%,9.9%,3.28%,58.1%
Kimball County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,32.6%
Camden County New Jersey,NEW JERSEY,5.38%,11.99%,3.59%,59.1%
Cape May County New Jersey,NEW JERSEY,5.58%,12.06%,3.83%,67.3%
Washoe County Nevada,NEVADA,11.07%,17.75%,5.82%,56.8%
Sweet Grass County Montana,MONTANA,21.95%,26.23%,14.6%,37.5%
Otoe County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,50.4%
Wheatland County Montana,MONTANA,26.7%,32.33%,18.24%,32.8%
Keya Paha County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,26.7%
White Pine County Nevada,NEVADA,13.9%,22.26%,7.55%,46.9%
Sarpy County Nebraska,NEBRASKA,8.19%,12.34%,4.96%,50%
Churchill County Nevada,NEVADA,13.9%,22.26%,7.55%,38.6%
Cuming County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,49%
Fillmore County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,45.3%
Morrill County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,32.1%
Cass County Nebraska,NEBRASKA,8.54%,12.85%,5.28%,51.6%
Hudson County New Jersey,NEW JERSEY,4.66%,10.65%,3.07%,57.9%
Deuel County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,26.7%
Stanton County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,24.9%
Logan County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,15.9%
Washington County Nebraska,NEBRASKA,8.54%,12.85%,5.28%,52.1%
Adams County Nebraska,NEBRASKA,8.93%,13.5%,5.49%,37.8%
Holt County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,40.7%
Monmouth County New Jersey,NEW JERSEY,4.4%,9.35%,3%,59.6%
Lander County Nevada,NEVADA,13.9%,22.26%,7.55%,34.9%
Hillsborough County New Hampshire,NEW HAMPSHIRE,10.12%,12.58%,6.62%,56.3%
Phelps County Nebraska,NEBRASKA,8.93%,13.5%,5.49%,34.8%
Valley County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,30%
Blaine County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,21.1%
Atlantic County New Jersey,NEW JERSEY,5.38%,12.1%,3.63%,56.9%
Furnas County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,38.5%
Cumberland County New Jersey,NEW JERSEY,6.34%,14.11%,4.29%,41.8%
Nuckolls County Nebraska,NEBRASKA,8.93%,13.5%,5.49%,44.6%
Sullivan County New Hampshire,NEW HAMPSHIRE,10.83%,13.58%,7.04%,59.6%
Elko County Nevada,NEVADA,13.9%,22.26%,7.55%,34.4%
Teton County Montana,MONTANA,26.7%,32.33%,18.24%,37.9%
Dawson County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,37.4%
Dixon County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,43.1%
Union County New Jersey,NEW JERSEY,5.04%,11.23%,3.4%,54.4%
Gosper County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,35.9%
Lincoln County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,25.9%
Brown County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,35.4%
Warren County New Jersey,NEW JERSEY,5.14%,10.88%,3.48%,62.7%
Cedar County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,42.3%
Garfield County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,26.6%
Keith County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,31.2%
Carson City Nevada,NEVADA,12.33%,19.58%,6.62%,56.2%
Colfax County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,43.4%
Nance County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,27.9%
Banner County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,23.6%
Hooker County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,41%
Passaic County New Jersey,NEW JERSEY,5.33%,11.98%,3.59%,54.9%
Hamilton County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,41.7%
Saunders County Nebraska,NEBRASKA,8.54%,12.85%,5.28%,47.9%
Nye County Nevada,NEVADA,13.9%,22.26%,7.55%,37.5%
Red Willow County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,32%
Perkins County Nebraska,NEBRASKA,8.7%,13.18%,5.37%,38.4%
Wibaux County Montana,MONTANA,26.39%,31.31%,17.99%,24.7%
Franklin County Nebraska,NEBRASKA,8.93%,13.5%,5.49%,34.7%
Wayne County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,36.4%
Clark County Nevada,NEVADA,11.83%,19.79%,6.24%,44.6%
Middlesex County New Jersey,NEW JERSEY,4.1%,9.12%,2.79%,59.2%
Sioux County Nebraska,NEBRASKA,8.42%,12.87%,5.16%,21.5%
Loup County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,23.2%
Humboldt County Nevada,NEVADA,13.9%,22.26%,7.55%,38.8%
Bergen County New Jersey,NEW JERSEY,3.86%,8.24%,2.63%,66%
Essex County New Jersey,NEW JERSEY,5.35%,12.33%,3.61%,55.2%
Toole County Montana,MONTANA,26.7%,32.33%,18.24%,41.2%
Polk County Nebraska,NEBRASKA,8.91%,13.54%,5.55%,37.3%
Dodge County Nebraska,NEBRASKA,8.54%,12.85%,5.28%,49%
Mineral County Nevada,NEVADA,13.9%,22.26%,7.55%,47.4%
Grafton County New Hampshire,NEW HAMPSHIRE,10.53%,13.29%,6.88%,69.4%
Salem County New Jersey,NEW JERSEY,6.42%,14.24%,4.36%,47.7%
Hall County Nebraska,NEBRASKA,9.03%,13.8%,5.58%,42%
Lancaster County Nebraska,NEBRASKA,7.78%,12.09%,4.78%,60.8%
Buffalo County Nebraska,NEBRASKA,8.93%,13.5%,5.49%,34.4%
Thurston County Nebraska,NEBRASKA,8.48%,12.88%,5.21%,65.5%
Harlan County Nebraska,NEBRASKA,8.93%,13.5%,5.49%,38%
